[2012/05/11 13:17:42] [INFO] [migo-3] POST:login done in 2 millis
[2012/05/11 13:18:03] [INFO] [migo-3] POST:login done in 2 millis
[2012/05/11 13:18:48] [INFO] [migo-3] POST:login done in 2 millis
[2012/05/11 13:19:21] [INFO] [migo-3] POST:login done in 2 millis
[2012/05/11 13:19:56] [INFO] [migo-3] POST:login done in 2 millis
[2012/05/11 13:20:35] [INFO] [migo-3] POST:login done in 2 millis
[2012/05/11 13:20:38] [INFO] [migo-3] POST:register done in 2 millis
[2012/05/11 13:20:58] [INFO] [migo-3] POST:login done in 1 millis
[2012/05/11 13:21:02] [INFO] [migo-3] POST:register done in 2 millis
[2012/05/11 13:22:12] [INFO] [migo-3] GET:register done in 41 millis
[2012/05/11 13:22:19] [INFO] [migo-3] GET:/ done in 1 millis
[2012/05/11 13:22:23] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:25:28] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:25:30] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:25:32] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:27:03] [INFO] [migo-3] GET:/ done in 1 millis
[2012/05/11 13:27:06] [INFO] [migo-3] POST:register done in 2 millis
[2012/05/11 13:27:32] [INFO] [migo-3] GET:/ done in 1 millis
[2012/05/11 13:27:34] [INFO] [migo-3] GET:/ done in 1 millis
[2012/05/11 13:28:56] [INFO] [migo-3] GET:/ done in 1 millis
[2012/05/11 13:28:57] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:29:06] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:29:08] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:29:58] [INFO] [migo-3] GET:/ done in 1 millis
[2012/05/11 13:29:59] [INFO] [migo-3] GET:/ done in 1 millis
[2012/05/11 13:30:15] [INFO] [migo-3] GET:/ done in 1 millis
[2012/05/11 13:30:17] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:30:31] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:30:46] [INFO] [migo-3] GET:/ done in 1 millis
[2012/05/11 13:30:52] [INFO] [migo-3] GET:/ done in 1 millis
[2012/05/11 13:30:54] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:31:23] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:31:26] [INFO] [migo-3] GET:/ done in 1 millis
[2012/05/11 13:33:26] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:33:30] [INFO] [migo-3] GET:/ done in 1 millis
[2012/05/11 13:33:41] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:33:43] [INFO] [migo-3] GET:/ done in 2 millis
[2012/05/11 13:33:47] [INFO] [migo-3] POST:register done in 2 millis
[2012/05/11 13:34:49] [INFO] [migo-3] GET:/ done in 1 millis
[2012/05/11 13:34:52] [INFO] [migo-3] POST:register done in 1 millis
[2012/05/11 13:34:57] [INFO] [migo-3] POST:login done in 2 millis
